Time (min:sec.ms),Engine Speed (RPM),Lambda Spec (),Lambda B1 Actual (),Lambda B2 Actual (),Fuel Injector (ms),STFT B1 (),STFT B2 (),HPFP Actual (hPa),HPFP Spec (hPa),Spark Advance (°),Accelerator Pedal (%),Throttle Position Actual (%),Boost Spec (mBar),Boost Actual (mBar),Knock Cylinder 1 (°),Knock Cylinder 2 (°),Knock Cylinder 3 (°),Knock Cylinder 4 (°),Knock Cylinder 5 (°),Knock Cylinder 6 (°),Bypass Valve (°),Air Mass (mg/stk),Intake Air Temp (°C),HPFP Capacity % (%),LPFP Pressure (Hpa),Engine Torque (NM),LPFP Pump Duty (%)
00:00.001,683,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00.010,683,0.996,,,,,,,,,,,,,,,,,,,,,,,,,
00:00.021,683,0.996,1.017,,,,,,,,,,,,,,,,,,,,,,,,
00:00.030,683,0.996,1.017,1.015,,,,,,,,,,,,,,,,,,,,,,,
00:00.041,683,0.996,1.017,1.015,0.844,,,,,,,,,,,,,,,,,,,,,,
00:00.050,683,0.996,1.017,1.015,0.844,-2,,,,,,,,,,,,,,,,,,,,,
00:00.061,683,0.996,1.017,1.015,0.844,-2,-1,,,,,,,,,,,,,,,,,,,,
00:00.070,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,,,,,,,,,,,,,,,,,,,
00:00.083,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,,,,,,,,,,,,,,,,,,
00:00.092,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,,,,,,,,,,,,,,,,,
00:00.101,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,,,,,,,,,,,,,,,,
00:00.111,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,,,,,,,,,,,,,,,
00:00.122,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,,,,,,,,,,,,,,
00:00.130,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,,,,,,,,,,,,,
00:00.141,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,,,,,,,,,,,,
00:00.152,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,,,,,,,,,,,
00:00.161,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,,,,,,,,,,
00:00.171,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,,,,,,,,,
00:00.183,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,,,,,,,,
00:00.191,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,,,,,,,
00:00.201,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,,,,,,
00:00.211,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,,,,,
00:00.221,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,,,,
00:00.231,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,,,
00:00.242,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,,
00:00.251,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,
00:00.261,683,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,48.418
00:00.279,684,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,48.418
00:00.291,684,0.996,1.017,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,48.418
00:00.302,684,0.996,1.015,1.015,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,48.418
00:00.311,684,0.996,1.015,1.017,0.844,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,48.418
00:00.322,684,0.996,1.015,1.017,0.812,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,48.418
00:00.331,684,0.996,1.015,1.017,0.812,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,48.418
00:00.342,684,0.996,1.015,1.017,0.812,-2,-1,40219.643,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,48.418
00:00.352,684,0.996,1.015,1.017,0.812,-2,-1,40272.71,40333.738,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,48.418
00:00.364,684,0.996,1.015,1.017,0.812,-2,-1,40272.71,40280.67,4.5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,48.418
00:00.372,684,0.996,1.015,1.017,0.812,-2,-1,40272.71,40280.67,5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,48.418
00:00.381,684,0.996,1.015,1.017,0.812,-2,-1,40272.71,40280.67,5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,48.418
00:00.390,684,0.996,1.015,1.017,0.812,-2,-1,40272.71,40280.67,5,14.51,3.922,443.692,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,48.418
00:00.401,684,0.996,1.015,1.017,0.812,-2,-1,40272.71,40280.67,5,14.51,3.922,446.76,440.043,0,0,0,0,0,0,58.832,144.443,62.25,11.623,4988.3,59.625,48.418
